customer_id,name,email,phone,signup_date,extra_info
C001,Alice Smith,alice.smith@email.com,555-123-1001,2025-10-15,
C002,Bob Jones,bob.jones@email.com,555-123-1002,2025-10-20,
C003,Carol White,carol.white@email.com,555-123-1003,2025-10-22,
C004,David Black,david.black@email.com,555-123-1004,2025-10-25,
C005,Eve Green,eve.green@email.com,555-123-1005,2025-10-28,
C006,Frank Brown,frank.brown@email.com,555-123-1006,2025-10-30,
C007,Grace Blue,grace.blue@email.com,555-123-1007,2025-11-01,
C008,Henry Gold,henry.gold@email.com,555-123-1008,2025-11-03,
C009,Ivan Gray,ivan.gray@email.com,555-123-1009,2025-11-05,
C010,Jane Silver,jane.silver@email.com,555-123-1010,2025-11-07,
C011,Kyle Orange,kyle.orange@email.com,555-123-1011,2025-11-09,
C012,Laura Violet,laura.violet@email.com,555-123-1012,2025-11-11,
C013,Mike Indigo,mike.indigo@email.com,555-123-1013,2025-11-13,
C014,Nina Pink,nina.pink@email.com,555-123-1014,2025-11-15,
C015,Oscar Red,oscar.red@email.com,555-123-1015,2025-11-17,
C016,Pam White,pam.white@email.com,555-123-1016,2025-11-19,
C017,Quinn Black,quinn.black@email.com,555-123-1017,2025-11-21,
C018,Rita Green,rita.green@email.com,555-123-1018,2025-11-23,
C019,Sam Brown,sam.brown@email.com,555-123-1019,2025-11-25,
C020,Tina Blue,tina.blue@email.com,555-123-1020,2025-11-27,
C021,Uma Gold,uma.gold@email.com,555-123-1021,2025-11-29,
C022,Victor Gray,victor.gray@email.com,555-123-1022,2025-11-30,
C023,Wendy Silver,wendy.silver@email.com,555-123-1023,2025-12-01,
C024,Xander Orange,xander.orange@email.com,555-123-1024,2025-12-03,
C025,Alice Smith,alice.smith@email.com,555-123-1001,2025-10-15,Duplicate row
C026,Yara Violet,yara.violet@email.com,,2025-12-05,Missing phone
,Zoe Pink,zoe.pink@email.com,555-123-1026,2025-12-07,Missing customer_id
C027,,zane.gray@email.com,555-123-1027,2025-12-09,Missing name
C028,Alan Black,,555-123-1028,2025-12-11,Missing email
C029,Ben Green,ben.green@email.com,555-123-1029,,Missing signup_date
